Atualizado - Pokemon | 1001 - Wo-chien

Atualizado - Pokemon Ability | Pokemon ID: 1001 - Ability Id: 286 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 1001 - Ability Id: 286 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 1001 - Stat ID: 1 - Base Stat: 85 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1001 - Stat ID: 2 - Base Stat: 85 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1001 - Stat ID: 3 - Base Stat: 100 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1001 - Stat ID: 4 - Base Stat: 95 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1001 - Stat ID: 5 - Base Stat: 135 - Effort: 3
Atualizado - Pokemon Stat | Pokemon ID: 1001 - Stat ID: 6 - Base Stat: 70 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 1001 - Color ID: 3


Já cadastrado  - Pokemon Generation | Pokemon ID: 1001 - Generation ID: 9

Erro ao cadastrar - Pokemon Habitat | Pokemon ID: 1001 - Habitat ID: 0

Já cadastrado  - Pokemon Shape | Pokemon ID: 1001 - Shape ID: 0


-------------------------

Atualizado - Pokemon | 1002 - Chien-pao

Atualizado - Pokemon Ability | Pokemon ID: 1002 - Ability Id: 285 - Is True: 0
Atualizado - Pokemon Ability | Pokemon ID: 1002 - Ability Id: 285 - Is True: 1

Atualizado - Pokemon Stat | Pokemon ID: 1002 - Stat ID: 1 - Base Stat: 80 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1002 - Stat ID: 2 - Base Stat: 120 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1002 - Stat ID: 3 - Base Stat: 80 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1002 - Stat ID: 4 - Base Stat: 90 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1002 - Stat ID: 5 - Base Stat: 65 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 1002 - Stat ID: 6 - Base Stat: 135 - Effort: 3

Já cadastrado  - Pokemon Color | Pokemon ID: 1002 - Color ID: 9


Já cadastrado  - Pokemon Generation | Pokemon ID: 1002 - Generation ID: 9

Erro ao cadastrar - Pokemon Habitat | Pokemon ID: 1002 - Habitat ID: 0

Já cadastrado  - Pokemon Shape | Pokemon ID: 1002 - Shape ID: 0


-------------------------

Atualizado - Gender | Id: 1 - female - Feminino
Já cadastrado  - Pokemon Gender | Pokemon ID: 1 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 4 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 7 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 10 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 13 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 16 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 19 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 21 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 23 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 27 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 29 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 37 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 41 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 43 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 46 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 48 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 50 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 52 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 54 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 56 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 58 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 60 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 63 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 66 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 69 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 72 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 74 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 77 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 79 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 83 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 84 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 86 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 88 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 90 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 92 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 95 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 96 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 98 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 102 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 104 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 108 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 109 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 111 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 114 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 115 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 116 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 118 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 123 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 127 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 129 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 131 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 133 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 138 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 140 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 142 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 147 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 152 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 155 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 158 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 161 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 163 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 165 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 167 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 170 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 172 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 173 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 174 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 175 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 177 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 179 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 187 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 190 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 191 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 193 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 194 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 198 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 200 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 203 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 204 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 206 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 207 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 209 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 211 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 213 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 214 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 215 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 216 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 218 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 220 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 222 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 223 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 225 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 227 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 228 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 231 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 234 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 235 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 238 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 239 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 240 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 241 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 246 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 252 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 255 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 258 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 261 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 263 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 265 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 270 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 273 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 276 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 278 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 280 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 283 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 285 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 287 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 290 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 293 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 296 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 298 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 299 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 300 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 302 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 303 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 304 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 307 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 309 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 311 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 312 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 314 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 316 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 318 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 320 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 322 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 324 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 325 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 327 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 328 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 331 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 333 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 335 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 336 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 339 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 341 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 345 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 347 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 349 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 351 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 352 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 353 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 355 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 357 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 359 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 360 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 361 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 363 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 366 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 369 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 370 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 371 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 380 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 387 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 390 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 393 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 396 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 399 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 401 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 403 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 406 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 408 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 410 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 412 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 415 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 417 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 418 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 420 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 422 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 425 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 427 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 431 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 433 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 434 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 438 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 439 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 440 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 441 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 442 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 443 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 446 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 447 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 449 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 451 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 453 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 455 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 456 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 458 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 459 - Gender ID: 1
Já cadastrado  - Pokemon Gender | Pokemon ID: 485 - Gender ID: 1
