Atualizado - Type | 1 - normal - Normal
Atualizado - Type | 2 - fighting - Lutador
Atualizado - Type | 3 - flying - Voador
Atualizado - Type | 4 - poison - Venenoso
Atualizado - Type | 5 - ground - Terrestre
Atualizado - Type | 6 - rock - Pedra
Atualizado - Type | 7 - bug - Inseto
Atualizado - Type | 8 - ghost - Fantasma
Atualizado - Type | 9 - steel - Metálico
Atualizado - Type | 10 - fire - Fogo
Atualizado - Type | 11 - water - Água
Atualizado - Type | 12 - grass - Planta
Atualizado - Type | 13 - electric - Elétrico
Atualizado - Type | 14 - psychic - Psíquico
Atualizado - Type | 15 - ice - Gelo
Atualizado - Type | 16 - dragon - Dragão
Atualizado - Type | 17 - dark - Sombrio
Atualizado - Type | 18 - fairy - Fada
Atualizado - Type | 10001 - unknown - Desconhecido
Atualizado - Type | 10002 - shadow - Sombra


Já cadastrado - Weakness | 1 -  - 2
Já cadastrado - Weakness | 1 - 10 - 11
Já cadastrado - Weakness | 1 - 10 - 2
Já cadastrado - Weakness | 1 - 10 - 5
Já cadastrado - Weakness | 1 - 10 - 6
Já cadastrado - Weakness | 1 - 11 - 13
Já cadastrado - Weakness | 1 - 11 - 12
Já cadastrado - Weakness | 1 - 11 - 2
Já cadastrado - Weakness | 1 - 13 - 2
Já cadastrado - Weakness | 1 - 13 - 5
Já cadastrado - Weakness | 1 - 12 - 10
Já cadastrado - Weakness | 1 - 12 - 15
Já cadastrado - Weakness | 1 - 12 - 2
Já cadastrado - Weakness | 1 - 12 - 4
Já cadastrado - Weakness | 1 - 12 - 3
Já cadastrado - Weakness | 1 - 12 - 7
Já cadastrado - Weakness | 1 - 15 - 10
Já cadastrado - Weakness | 1 - 15 - 2
Já cadastrado - Weakness | 1 - 15 - 6
Já cadastrado - Weakness | 1 - 15 - 9
Já cadastrado - Weakness | 1 - 2 - 2
Já cadastrado - Weakness | 1 - 2 - 3
Já cadastrado - Weakness | 1 - 2 - 14
Já cadastrado - Weakness | 1 - 2 - 18
Já cadastrado - Weakness | 1 - 4 - 5
Já cadastrado - Weakness | 1 - 4 - 14
Já cadastrado - Weakness | 1 - 5 - 11
Já cadastrado - Weakness | 1 - 5 - 12
Já cadastrado - Weakness | 1 - 5 - 15
Já cadastrado - Weakness | 1 - 5 - 2
Já cadastrado - Weakness | 1 - 3 - 13
Já cadastrado - Weakness | 1 - 3 - 15
Já cadastrado - Weakness | 1 - 3 - 6
Já cadastrado - Weakness | 1 - 14 - 7
Já cadastrado - Weakness | 1 - 14 - 17
Já cadastrado - Weakness | 1 - 7 - 10
Já cadastrado - Weakness | 1 - 7 - 3
Já cadastrado - Weakness | 1 - 7 - 6
Já cadastrado - Weakness | 1 - 6 - 11
Já cadastrado - Weakness | 1 - 6 - 12
Já cadastrado - Weakness | 1 - 6 - 2
Já cadastrado - Weakness | 1 - 6 - 5
Já cadastrado - Weakness | 1 - 6 - 9
Já cadastrado - Weakness | 1 - 8 - 17
Já cadastrado - Weakness | 1 - 16 - 15
Já cadastrado - Weakness | 1 - 16 - 2
Já cadastrado - Weakness | 1 - 16 - 16
Já cadastrado - Weakness | 1 - 16 - 18
Já cadastrado - Weakness | 1 - 17 - 2
Já cadastrado - Weakness | 1 - 17 - 7
Já cadastrado - Weakness | 1 - 17 - 18
Já cadastrado - Weakness | 1 - 9 - 10
Já cadastrado - Weakness | 1 - 9 - 2
Já cadastrado - Weakness | 1 - 9 - 5
Já cadastrado - Weakness | 1 - 18 - 4
Já cadastrado - Weakness | 1 - 18 - 9
Já cadastrado - Weakness | 10 -  - 11
Já cadastrado - Weakness | 10 -  - 5
Já cadastrado - Weakness | 10 -  - 6
Já cadastrado - Weakness | 10 - 1 - 11
Já cadastrado - Weakness | 10 - 1 - 2
Já cadastrado - Weakness | 10 - 1 - 5
Já cadastrado - Weakness | 10 - 1 - 6
Já cadastrado - Weakness | 10 - 11 - 13
Já cadastrado - Weakness | 10 - 11 - 5
Já cadastrado - Weakness | 10 - 11 - 6
Já cadastrado - Weakness | 10 - 13 - 11
Já cadastrado - Weakness | 10 - 13 - 5
Já cadastrado - Weakness | 10 - 13 - 6
Já cadastrado - Weakness | 10 - 12 - 4
Já cadastrado - Weakness | 10 - 12 - 3
Já cadastrado - Weakness | 10 - 12 - 6
Já cadastrado - Weakness | 10 - 15 - 11
Já cadastrado - Weakness | 10 - 15 - 2
Já cadastrado - Weakness | 10 - 15 - 5
Já cadastrado - Weakness | 10 - 15 - 6
Já cadastrado - Weakness | 10 - 2 - 11
Já cadastrado - Weakness | 10 - 2 - 5
Já cadastrado - Weakness | 10 - 2 - 3
Já cadastrado - Weakness | 10 - 2 - 14
Já cadastrado - Weakness | 10 - 4 - 11
Já cadastrado - Weakness | 10 - 4 - 5
Já cadastrado - Weakness | 10 - 4 - 14
Já cadastrado - Weakness | 10 - 4 - 6
Já cadastrado - Weakness | 10 - 5 - 11
Já cadastrado - Weakness | 10 - 5 - 5
Já cadastrado - Weakness | 10 - 3 - 11
Já cadastrado - Weakness | 10 - 3 - 13
Já cadastrado - Weakness | 10 - 3 - 6
Já cadastrado - Weakness | 10 - 14 - 11
Já cadastrado - Weakness | 10 - 14 - 5
Já cadastrado - Weakness | 10 - 14 - 6
Já cadastrado - Weakness | 10 - 14 - 8
Já cadastrado - Weakness | 10 - 14 - 17
Já cadastrado - Weakness | 10 - 7 - 11
Já cadastrado - Weakness | 10 - 7 - 3
Já cadastrado - Weakness | 10 - 7 - 6
Já cadastrado - Weakness | 10 - 6 - 11
Já cadastrado - Weakness | 10 - 6 - 2
Já cadastrado - Weakness | 10 - 6 - 5
Já cadastrado - Weakness | 10 - 6 - 6
Já cadastrado - Weakness | 10 - 8 - 11
Já cadastrado - Weakness | 10 - 8 - 5
Já cadastrado - Weakness | 10 - 8 - 6
Já cadastrado - Weakness | 10 - 8 - 8
