
Atualizado - Pokemon | 2 - Ivysaur

Já cadastrado  - Pokemon Type | Pokemon ID: 2 - Type ID: 12 - Type Order: 1
Já cadastrado  - Pokemon Type | Pokemon ID: 2 - Type ID: 4 - Type Order: 2

Já cadastrado  - Pokemon Ability | Pokemon ID: 2 - Ability Id: 65
Já cadastrado  - Pokemon Ability | Pokemon ID: 2 - Ability Id: 34

Atualizado - Pokemon Stat | Pokemon ID: 2 - Stat ID: 1 - Base Stat: 60 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 2 - Stat ID: 2 - Base Stat: 62 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 2 - Stat ID: 3 - Base Stat: 63 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 2 - Stat ID: 4 - Base Stat: 80 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 2 - Stat ID: 5 - Base Stat: 80 - Effort: 1
Atualizado - Pokemon Stat | Pokemon ID: 2 - Stat ID: 6 - Base Stat: 60 - Effort: 0

Já cadastrado  - Pokemon Color | Pokemon ID: 2 - Color ID: 5

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 2 - Egg Group ID: 1
Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 2 - Egg Group ID: 7

Já cadastrado  - Pokemon Generation | Pokemon ID: 2 - Generation ID: 1

Já cadastrado  - Pokemon Habitat | Pokemon ID: 2 - Habitat ID: 3

Já cadastrado  - Pokemon Shape | Pokemon ID: 2 - Shape ID: 8


Erro ao cadastrar - Pokemon Evolution Chain | Pokemon ID From: 1 - Pokemon Id To: 2 - Pokemon Evolution: 1
Já cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 2 - Pokemon Id To: 3 - Pokemon Evolution: 2
Atualizado - Pokemon | 3 - Venusaur

Já cadastrado  - Pokemon Type | Pokemon ID: 3 - Type ID: 12 - Type Order: 1
Já cadastrado  - Pokemon Type | Pokemon ID: 3 - Type ID: 4 - Type Order: 2

Já cadastrado  - Pokemon Ability | Pokemon ID: 3 - Ability Id: 65
Já cadastrado  - Pokemon Ability | Pokemon ID: 3 - Ability Id: 34

Atualizado - Pokemon Stat | Pokemon ID: 3 - Stat ID: 1 - Base Stat: 80 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 3 - Stat ID: 2 - Base Stat: 82 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 3 - Stat ID: 3 - Base Stat: 83 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 3 - Stat ID: 4 - Base Stat: 100 - Effort: 2
